job,link,company,experience,salary,location,skill
MERN Full Stack Developer,https://www.naukri.com/job-listings-mern-full-stack-developer-expertrons-bhopal-0-to-2-years-150920500290?src=jobsearchDesk&sid=16488758488346493&xp=5&px=1,Expertrons,0-2 Yrs,Not disclosed,Bhopal,"Cloud computing, Backend, NoSQL, PDF, Web services, data science, Data modeling, MongoDB, "
Full Stack Developer - MEAN/MERN Stack,https://www.naukri.com/job-listings-full-stack-developer-mean-mern-stack-savitarka-business-solutions-bangalore-bengaluru-0-to-3-years-040322900248?src=jobsearchDesk&sid=16488758488346493&xp=6&px=1,Savitarka Business Solutions,0-3 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid),"MEAN, MERN Stack, MEANMERN stack, Full Stack Developer, storage solutions, data protection measures, "
"Node.js/MERN Stack Developer in Ruby, Kolkata",https://www.naukri.com/job-listings-node-js-mern-stack-developer-in-ruby-kolkata-grey-mirror-private-limited-kolkata-0-to-5-years-040322007051?src=jobsearchDesk&sid=16488758488346493&xp=7&px=1,Grey Mirror Private Limited,0-5 Yrs,"2,00,000 - 7,00,000 PA.",Kolkata,"React Native, MERN, Redis, MEAN, React Js, RESTful APIs, node js Express, MongoDB, "
MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-madgeek-bangalore-bengaluru-0-to-3-years-170621500254?src=jobsearchDesk&sid=16488758488346493&xp=8&px=1,Madgeek,0-3 Yrs,Not disclosed,Bangalore/Bengaluru,"JavaScript framework, Mongo DB, analytical, Node js, React js, Express, JavaScript, Express React JS, "
MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-daydreamsoft-surat-0-to-4-years-200321500223?src=jobsearchDesk&sid=16488758488346493&xp=9&px=1,Daydreamsoft,0-4 Yrs,Not disclosed,Surat,"Backend, PDF, Coding, MySQL, Web development, Javascript, HTML, Product design, "
MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-save-as-web-com-mumbai-0-to-2-years-150222500473?src=jobsearchDesk&sid=16488758488346493&xp=10&px=1,Save AS Web.com,0-2 Yrs,Not disclosed,Mumbai,"VMware, System testing, Linux, Testing tools, Performance testing, Selenium, Troubleshooting, JIRA, "
React js & Node js developer (MERN stack Developer),https://www.naukri.com/job-listings-react-js-node-js-developer-mern-stack-developer-innvonix-tech-solutions-private-limited-ahmedabad-0-to-5-years-150322005253?src=jobsearchDesk&sid=16488758488346493&xp=11&px=1,Innvonix Tech Solutions Private Limited ,0-5 Yrs,Not disclosed,Ahmedabad(Science City),"mern stack, node.js, React.Js, Redux framework, LESS, analytical, NoSQL, CSS, "
MERN Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-aloola-tech-private-limited-ahmedabad-surat-vadodara-baroda-0-to-5-years-090322008854?src=jobsearchDesk&sid=16488758488346493&xp=12&px=1,ALOOLA TECH PRIVATE LIMITED ,0-5 Yrs,"2,00,000 - 6,00,000 PA.","Ahmedabad, Surat, Vadodara","IT Skills, React.js, Angularjs, Node.js, Javascript, redux, mern stack, Postgres Database, "
Mern Stack Developer,https://www.naukri.com/job-listings-mern-stack-developer-clumpcoder-indore-0-to-2-years-020322010121?src=jobsearchDesk&sid=16488758488346493&xp=13&px=1,ClumpCoder,0-2 Yrs,"1,00,000 - 2,50,000 PA.",Indore,"IT Skills, React.js, Node.js, HTML, CSS, Javascript, Express, Web Technologies, "
Full Stack Developer - MERN,https://www.naukri.com/job-listings-full-stack-developer-mern-cogniaim-inc-ai-for-your-business-jaipur-0-to-2-years-300921002083?src=jobsearchDesk&sid=16488758488346493&xp=14&px=1,CogniAIm Inc. - AI for your Business,0-2 Yrs,Not disclosed,Jaipur,"GCP, ReactJS, MVC, Node js, Redux, Express js, Web - Services, Javascript, "
Mern Developer,https://www.naukri.com/job-listings-mern-developer-snaphunt-delhi-ncr-0-to-5-years-031221005420?src=jobsearchDesk&sid=16488758488346493&xp=15&px=1,Snaphunt,0-5 Yrs,Not disclosed,Delhi / NCR,"React Native, ReactJS, Node js, AngularJS, written, verbal communication, Objective - C, IT Skills, "
Full Stack Web Developer - Training Bootcamp - Freshers,https://www.naukri.com/job-listings-full-stack-web-developer-training-bootcamp-freshers-fintech-infosystems-private-limited-pune-chennai-bangalore-bengaluru-0-to-2-years-230122000717?src=jobsearchDesk&sid=16488758488346493&xp=16&px=1,FINTECH INFOSYSTEMS PRIVATE LIMITED,0-2 Yrs,"6,00,000 - 16,00,000 PA.","Pune, Chennai, Bangalore/Bengaluru(WFH during Covid)","Engineering, Computer Science, Communication Skills, Java, Software Development, C++, Algorithms, Web Technologies, "
Full Stack Web Developer - Training bootcamp,https://www.naukri.com/job-listings-full-stack-web-developer-training-bootcamp-fintech-infosystems-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-2-years-070322002806?src=jobsearchDesk&sid=16488758488346493&xp=17&px=1,FINTECH INFOSYSTEMS PRIVATE LIMITED,0-2 Yrs,"6,00,000 - 16,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru(WFH during Covid)","Java, C++, OOPS, Algorithms, Data Structures, Web Technologies, Computer Science, Web Development, "
Full Stack Web Developer,https://www.naukri.com/job-listings-full-stack-web-developer-siemens-limited-bangalore-bengaluru-0-to-5-years-280222500571?src=jobsearchDesk&sid=16488758488346493&xp=18&px=1,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science, Automation testing, Architecture, Analytical, Web development, Debugging, Consulting, Agile, "
Full stack developer with Azure cloud experience,https://www.naukri.com/job-listings-full-stack-developer-with-azure-cloud-experience-siemens-limited-bangalore-bengaluru-0-to-6-years-160222501002?src=jobsearchDesk&sid=16488758488346493&xp=19&px=1,Siemens,0-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Computer science, software architecture, Coding, Analytical, PAAS, Debugging, Architectural design, Agile, "
Fresher Full stack developer (work from Home),https://www.naukri.com/job-listings-fresher-full-stack-developer-work-from-home-busibud-solutions-pvt-ltd-kolkata-0-to-2-years-260322002372?src=jobsearchDesk&sid=16488758488346493&xp=20&px=1,Busibud Solutions Pvt Ltd,0-2 Yrs,"3,00,000 - 4,00,000 PA.",Kolkata,"MySql, LAMP, jQuery, Git, Javascript, Solr, IT Skills, PHP, "
Enrolment Manager,https://www.naukri.com/job-listings-enrolment-manager-quacquarelli-symonds-kolkata-0-to-4-years-310322501387?src=jobsearchDesk&sid=16488758507691715&xp=1&px=1,Quacquarelli Symonds,0-4 Yrs,Not disclosed,Kolkata,"Career development, Diversity and Inclusion, Project management, Wellness, Product design, Customer service, microsoft, Servicing, "
Bengali - Video Editor,https://www.naukri.com/job-listings-editor-behtar-technologies-pvt-ltd-kharagpur-kolkata-siliguri-asansol-darjeeling-howrah-0-to-1-years-310322011052?src=jobsearchDesk&sid=16488758507691715&xp=2&px=1,Behtar Technologies  Pvt Ltd,0-1 Yrs,Not disclosed,"Kharagpur, Kolkata, Siliguri, Asansol, Darjeeling, Howrah","Video Editing, Bengali, Photoshop, Adobe Premiere Pro, final cut pro, adobe after effects, premier pro, Graphic Designing, "
Front Office Executive,https://www.naukri.com/job-listings-front-office-executive-suraksha-diagnostic-pvt-ltd-kolkata-0-to-1-years-310322007466?src=jobsearchDesk&sid=16488758507691715&xp=3&px=1,Suraksha Diagnostic Pvt Ltd,0-1 Yrs,"1,00,000 - 1,75,000 PA.",Kolkata,"bhm, Front Desk, front office, receptionist activities, Front Office Operations, Reception, "
Software Developer,https://www.naukri.com/job-listings-software-developer-extrieve-technologies-pvt-ltd-kolkata-bangalore-bengaluru-delhi-ncr-0-to-3-years-310322006795?src=jobsearchDesk&sid=16488758507691715&xp=4&px=1,Extrieve Technologies Pvt. Ltd.,0-3 Yrs,"3,00,000 - 8,00,000 PA. (Including Variable: 10.0%)","Kolkata, Bangalore/Bengaluru, Delhi / NCR","C Programming Language, C, Coding And Development, Data Structures, C Plus Plus, "
Research Associate (Statistics),https://www.naukri.com/job-listings-research-associate-statistics-acadecraft-pvt-ltd-kolkata-navi-mumbai-pune-faridabad-gurgaon-gurugram-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-310322005370?src=jobsearchDesk&sid=16488758507691715&xp=5&px=1,Acadecraft,0-5 Yrs,Not disclosed,"Kolkata, Navi Mumbai, Pune, Faridabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Statistics, bcom, bsc, mcom, msc, Content Writing, phdstudent, "
Customer Support Associate (CSA).,https://www.naukri.com/job-listings-customer-support-associate-csa-tech-mahindra-ltd-kolkata-0-to-4-years-310322005075?src=jobsearchDesk&sid=16488758507691715&xp=7&px=1,Tech Mahindra,0-4 Yrs,Not disclosed,Remote,"Domestic BPO, Voice Process, customer support, BPO, voice, hindi, Customer Relationship, calling, "
Customer Support Associate  @ Startek Aegis - WFH,https://www.naukri.com/job-listings-customer-support-associate-startek-aegis-wfh-aegis-customer-support-services-private-limited-noida-kolkata-mumbai-all-areas-0-to-2-years-300322011385?src=jobsearchDesk&sid=16488758507691715&xp=9&px=1,Aegis Global,0-2 Yrs,"1,50,000 - 2,50,000 PA.","Noida, Kolkata, Mumbai (All Areas)","customer support, BPO, inbound, outbound, hindi, Executive Support, Customer Service, Call Center Operations, "
Civil Engineer,https://www.naukri.com/job-listings-civil-engineer-gr-international-howrah-0-to-3-years-230322611159?src=jobsearchDesk&sid=16488758507691715&xp=10&px=1,GR International ,0-3 Yrs,"2,75,000 - 5,50,000 PA.",Howrah,"Design, Project Management, Site Layout, Civil Engineering, Construction Projects, Safe, Autocad Civil 3D, Technical Specifications, "
Fresher Management & Engineer,https://www.naukri.com/job-listings-fresher-management-engineer-gr-international-kolkata-0-to-4-years-220322607169?src=jobsearchDesk&sid=16488758507691715&xp=11&px=1,GR International ,0-4 Yrs,"2,25,000 - 3,75,000 PA.",Kolkata,"Administration Management, Accounting, Finance, Human Resource Management, Executive Management, Hiring, HR, Admin Executive, "
ECommerce – Digital Marketing – Virtual Internship – WFH,https://www.naukri.com/job-listings-ecommerce-digital-marketing-virtual-internship-wfh-revolux-solutions-pvt-ltd-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-1-years-200122908945?src=jobsearchDesk&sid=16488758507691715&xp=12&px=1,Revolux Solutions Pvt. Ltd.,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru(WFH during Covid)","Digital Marketing, English Proficiency Written, Strategy Development, Content Management, English Proficiency Spoken, Marketing Campaigns, Email Marketing, Social Media Marketing, "
Ecommerce - Operations - Virtual Internships,https://www.naukri.com/job-listings-ecommerce-operations-virtual-internships-revolux-solutions-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-1-years-200122907921?src=jobsearchDesk&sid=16488758507691715&xp=13&px=1,Revolux Solutions Pvt. Ltd.,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru(WFH during Covid)","Communication Skills, Ecommerce, Operations, Communication, Verbal, Written, IT Skills, Product Management, "
Civil Engineer,https://www.naukri.com/job-listings-civil-engineer-gr-international-kolkata-0-to-3-years-170322600942?src=jobsearchDesk&sid=16488758507691715&xp=14&px=1,GR International ,0-3 Yrs,"2,75,000 - 5,50,000 PA.",Kolkata,"Design, Project Management, Site Layout, Civil Engineering, Construction Projects, Safe, Autocad Civil 3D, Technical Specifications, "
Finance Administrator,https://www.naukri.com/job-listings-finance-administrator-gr-international-kolkata-0-to-3-years-170322600919?src=jobsearchDesk&sid=16488758507691715&xp=15&px=1,GR International ,0-3 Yrs,"2,50,000 - 5,00,000 PA.",Kolkata,"Excel, Financial Projections, Finance, Accounting Software, Book Keeping, Quick Books, Account Management, Taxation, "
Electrical Engineer,https://www.naukri.com/job-listings-electrical-engineer-gr-international-kolkata-0-to-3-years-170322600913?src=jobsearchDesk&sid=16488758507691715&xp=16&px=1,GR International ,0-3 Yrs,"2,75,000 - 5,50,000 PA.",Kolkata,"Electrical Products, Diploma, Design Control, Maintenance, Engineering Projects, Performance Analysis, Electricals, Experience Design, "
Urgent Requirements Mechanical Engineer,https://www.naukri.com/job-listings-urgent-requirements-mechanical-engineer-gr-international-kolkata-0-to-3-years-170322600888?src=jobsearchDesk&sid=16488758507691715&xp=17&px=1,GR International ,0-3 Yrs,"2,75,000 - 4,75,000 PA.",Kolkata,"CFD, Design, FEA, AutoCAD, Computational Fluid Dynamics, Ansys, Engineering Analysis, Finite Element Analysis, "
Trainee Design Engineer,https://www.naukri.com/job-listings-trainee-design-engineer-gr-international-howrah-0-to-1-years-090122601951?src=jobsearchDesk&sid=16488758507691715&xp=18&px=1,GR International ,0-1 Yrs,Not disclosed,Howrah,"NVH, 3D Cad, Simulation, Electrical Motors, Mechanical Design, Ansys, Design Engineering, Solid Works, "
Amazon - SPS Associate (English & Hindi) (Virtual) - Kolkata,https://www.naukri.com/job-listings-amazon-sps-associate-english-hindi-virtual-kolkata-amazon-development-centre-india-pvt-ltd-kolkata-0-to-5-years-020422000206?src=jobsearchDesk&sid=16488758507691715&xp=19&px=1,Amazon,0-5 Yrs,"3,00,000 - 4,00,000 PA.",Kolkata,"operations, Work from Home, seller support, customer service, email support, Voice Process, "
Amazon - Selling Partner Support Associate (work from Home) - Kolkata,https://www.naukri.com/job-listings-amazon-selling-partner-support-associate-work-from-home-kolkata-amazon-development-centre-india-pvt-ltd-kolkata-0-to-5-years-020422000204?src=jobsearchDesk&sid=16488758507691715&xp=20&px=1,Amazon,0-5 Yrs,"3,00,000 - 4,00,000 PA.",Kolkata,"operations, Work from Home, seller support, customer service, "
Fullstack Developer - Java & Angular,https://www.naukri.com/job-listings-fullstack-developer-java-angular-clarivate-analytics-hyderabad-secunderabad-bangalore-bengaluru-0-to-2-years-220322501148?src=jobsearchDesk&sid=16488758608707729&xp=1&px=1,Clarivate,0-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Analytical, Programming, Business solutions, Internship, SQL, Python, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-sulekha-com-new-media-private-limited-chennai-0-to-5-years-220322006815?src=jobsearchDesk&sid=16488758608707729&xp=2&px=1,Sulekha,0-5 Yrs,Not disclosed,Chennai(Perungudi),"C#, angular, Vue.Js, css, asp.net web api, .net core, Bootstrap, html, "
Fullstack Developer- Bangalore,https://www.naukri.com/job-listings-fullstack-developer-bangalore-arcadix-infotech-private-limited-bangalore-bengaluru-0-to-5-years-080217004406?src=jobsearchDesk&sid=16488758608707729&xp=3&px=1,Arcadix Infotech Private Limited,0-5 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid),"c#, asp.net, net4.7, json, web api, javascript, sql server, postgres, "
Java Fullstack Developer Fresher  (Product Firm) (Remote),https://www.naukri.com/job-listings-java-fullstack-developer-fresher-product-firm-remote-full-creative-chennai-0-to-2-years-290921009820?src=jobsearchDesk&sid=16488758608707729&xp=4&px=1,FULL CREATIVE  ,0-2 Yrs,Not disclosed,Remote,"Java, Javascript, IT Skills, Cloud, Oracle, AWS, Hibernate, Spring Mvc, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-goprac-com-bangalore-bengaluru-0-to-2-years-250322001989?src=jobsearchDesk&sid=16488758608707729&xp=5&px=1,Goprac.com,0-2 Yrs,"3,75,000 - 4,50,000 PA.",Bangalore/Bengaluru(HSR Layout)(WFH during Covid),"MySQL, javascript, css, python, node.js, HTML, jquery, "
Fullstack Developer For Freshers 0-2 Yrs Exp,https://www.naukri.com/job-listings-fullstack-developer-for-freshers-0-2-yrs-exp-eclatansys-information-private-limited-hyderabad-secunderabad-0-to-2-years-220322003937?src=jobsearchDesk&sid=16488758608707729&xp=6&px=1,eclatansys Information private limited ,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"React Na, spring boot, angular, Hibernate, Maven, communication, Typescript, JPA, "
Fullstack Web Developer,https://www.naukri.com/job-listings-fullstack-web-developer-busigence-technologies-remote-0-to-4-years-220322500558?src=jobsearchDesk&sid=16488758608707729&xp=7&px=1,Busigence Technologies,0-4 Yrs,Not disclosed,Remote,"IT Skills, Cloud, Javascript, Managed services, Web technologies, Artificial Intelligence, Web development, Machine learning, "
Fullstack Developer-React JS-,https://www.naukri.com/job-listings-fullstack-developer-react-js-techathalon-software-solutions-private-limited-mumbai-navi-mumbai-mumbai-all-areas-0-to-3-years-030322008513?src=jobsearchDesk&sid=16488758608707729&xp=8&px=1,TECHATHALON SOFTWARE SOLUTIONS PRIVATE LIMITED,0-3 Yrs,"1,50,000 - 3,00,000 PA.","Mumbai(Mulund), Navi Mumbai, Mumbai (All Areas)","Building Applications, Angularjs, Full Stack Application Development, Full Stack, Js-L3, Designing And Developing, Nodejs Applications, Fullstack, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-vedika-web-solutions-pune-0-to-1-years-110322006113?src=jobsearchDesk&sid=16488758608707729&xp=9&px=1,Vedika Web Solutions,0-1 Yrs,"3,00,000 - 5,00,000 PA.",Pune(Baner)(WFH during Covid),"WordPress OO, JavaScript, design pattern, REST, Git, Shopify, GraphQL, Github, "
Urgently looking For Fullstack Engineer/Senior Engineer@Volansys,https://www.naukri.com/job-listings-urgently-looking-for-fullstack-engineer-senior-engineer-volansys-volansys-technologies-pvt-ltd-ahmedabad-0-to-5-years-210322004609?src=jobsearchDesk&sid=16488758608707729&xp=10&px=1,Volansys Technologies Pvt Ltd,0-5 Yrs,Not disclosed,Ahmedabad,"angular, web technologies, javascript, IT Skills, Data Science, Machine Learning, Artificial Intelligence, Cloud, "
Fullstack Developer - Reputed Company - Delhi,https://www.naukri.com/job-listings-fullstack-developer-reputed-company-delhi-pms-consulting-delhi-ncr-0-to-3-years-310322008468?src=jobsearchDesk&sid=16488758608707729&xp=11&px=1,PMS Consulting ,0-3 Yrs,"5,00,000 - 6,00,000 PA.",Delhi / NCR,"Fullstack Development, coding, Node.Js, React.Js, "
Mumbai - Java Fullstack Developer- Immediate Joinee,https://www.naukri.com/job-listings-mumbai-java-fullstack-developer-immediate-joinee-jforce-solutions-mumbai-0-to-5-years-050322000796?src=jobsearchDesk&sid=16488758608707729&xp=12&px=1,JForce Solutions,0-5 Yrs,"2,50,000 - 7,50,000 PA.",Mumbai,"Java, Spring, MySQL, IT Skills, J2EE, Cloud, Javascript, Salesforce, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-bitontree-ahmedabad-0-to-3-years-180320500537?src=jobsearchDesk&sid=16488758608707729&xp=13&px=1,Bitontree,0-3 Yrs,Not disclosed,Ahmedabad,"RESTful APIs, TypeScript, Git, Github, Redux, ES6, Node js, React js, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-frendy-ahmedabad-0-to-3-years-140322004411?src=jobsearchDesk&sid=16488758608707729&xp=14&px=1,Frendy,0-3 Yrs,"3,00,000 - 8,00,000 PA.",Ahmedabad(Prahlad Nagar),"Node, IT Skills, Testing, Quality Assurance, Vue.Js, MySQL, Javascript, Node.Js, "
Fullstack Developer_Eco,https://www.naukri.com/job-listings-fullstack-developer-eco-ibm-india-pvt-limited-ahmedabad-0-to-3-years-020322907138?src=jobsearchDesk&sid=16488758608707729&xp=15&px=1,IBM,0-3 Yrs,Not disclosed,Ahmedabad,"IT Skills, Java, Software Development, Testing, Cloud, DevOps, HTML, SOA, "
Fullstack developer For a Leading Product Development Company,https://www.naukri.com/job-listings-fullstack-developer-for-a-leading-product-development-company-myfutureapp-bangalore-bengaluru-0-to-1-years-160322002656?src=jobsearchDesk&sid=16488758608707729&xp=16&px=1,MYFUTUREAPP ,0-1 Yrs,"2,50,000 - 3,50,000 PA.",Bangalore/Bengaluru,"IT Skills, Java, Testing, Team Management, Development Management, Code Analytics, IT, Development Planning, "
Software Engineer - Enterprise Application. Fullstack and Frontend,https://www.naukri.com/job-listings-software-engineer-enterprise-application-fullstack-and-frontend-zmed-healthcare-technologies-pvt-ltd-chennai-bangalore-bengaluru-0-to-3-years-030322000535?src=jobsearchDesk&sid=16488758608707729&xp=17&px=1,zMed Healthcare Technologies Pvt. Ltd. ,0-3 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","IT Skills, Java, React.js, HTML, CSS, software engineering, application development, "
Fullstack Developer,https://www.naukri.com/job-listings-fullstack-developer-medha-scientific-innovation-training-chidambaram-0-to-1-years-030322007224?src=jobsearchDesk&sid=16488758608707729&xp=18&px=1,Medha Scientific Innovation & Training,0-1 Yrs,"60,000 - 1,25,000 PA.",Chidambaram,"Game Development, Web Development, c++, python, css, c, java, HTML, "
Fullstack Lab coordinator,https://www.naukri.com/job-listings-fullstack-lab-coordinator-arrixon-technologies-pvt-ltd-hyderabad-secunderabad-0-to-2-years-050322000108?src=jobsearchDesk&sid=16488758608707729&xp=19&px=1,Arrixon Technologies Pvt Ltd ,0-2 Yrs,Not disclosed,Hyderabad/Secunderabad,"Angular, verbal, written communication, React JS, Java, IT Skills, .Net, front end, "
Software Engineer ( FULLSTACK ),https://www.naukri.com/job-listings-software-engineer-fullstack-aqugen-gurgaon-gurugram-0-to-2-years-280122500174?src=jobsearchDesk&sid=16488758608707729&xp=20&px=1,Aqugen,0-2 Yrs,Not disclosed,Gurgaon/Gurugram,"Software Engineer (FULLSTACK), "
